strategy,budget,precision,recall,f1,tp,fp,fn
baseline,0,0.997,1.0,0.9984,10.0,0.0333,0.0
device_ip_rotation,5,0.9848,1.0,0.9921,10.0,0.1667,0.0
device_ip_rotation,10,0.9707,1.0,0.9844,10.0,0.3333,0.0
device_ip_rotation,20,0.8824,1.0,0.9355,10.0,1.4333,0.0
device_ip_rotation,30,0.7444,1.0,0.8509,10.0,3.6,0.0
device_ip_rotation,40,0.6475,1.0,0.7845,10.0,5.5667,0.0
device_ip_rotation,50,0.6145,1.0,0.7598,10.0,6.4,0.0
merchant_rotation,5,0.997,1.0,0.9984,10.0,0.0333,0.0
merchant_rotation,10,0.997,1.0,0.9984,10.0,0.0333,0.0
merchant_rotation,20,0.9879,1.0,0.9937,10.0,0.1333,0.0
merchant_rotation,30,0.9848,1.0,0.9921,10.0,0.1667,0.0
merchant_rotation,40,0.9793,1.0,0.989,10.0,0.2333,0.0
merchant_rotation,50,0.9793,1.0,0.989,10.0,0.2333,0.0
full_evasion,5,0.9933,0.9933,0.9933,9.9333,0.0667,0.0667
full_evasion,10,0.9533,0.95,0.9516,9.5,0.4667,0.5
full_evasion,20,0.7306,0.66,0.6921,6.6,2.5,3.4
full_evasion,30,0.516,0.3133,0.3878,3.1333,3.0333,6.8667
full_evasion,40,0.2472,0.05,0.0822,0.5,1.7667,9.5
full_evasion,50,0.0,0.0,0.0,0.0,0.0,10.0
velocity_throttle,5,0.997,1.0,0.9984,10.0,0.0333,0.0
velocity_throttle,10,0.997,1.0,0.9984,10.0,0.0333,0.0
velocity_throttle,20,0.997,1.0,0.9984,10.0,0.0333,0.0
velocity_throttle,30,0.997,1.0,0.9984,10.0,0.0333,0.0
velocity_throttle,40,0.997,1.0,0.9984,10.0,0.0333,0.0
velocity_throttle,50,0.997,1.0,0.9984,10.0,0.0333,0.0
combined_evasion,5,0.9933,0.9933,0.9933,9.9333,0.0667,0.0667
combined_evasion,10,0.9533,0.95,0.9516,9.5,0.4667,0.5
combined_evasion,20,0.7306,0.66,0.6921,6.6,2.5,3.4
combined_evasion,30,0.516,0.3133,0.3878,3.1333,3.0333,6.8667
combined_evasion,40,0.2472,0.05,0.0822,0.5,1.7667,9.5
combined_evasion,50,0.0,0.0,0.0,0.0,0.0,10.0
