mechanism,epsilon,tpr,fpr,accuracy
baseline_laplace,0.1,0.8563,0.6697,0.5933
baseline_laplace,0.5,0.968,0.4351,0.7664
baseline_laplace,1.0,0.9908,0.2644,0.8632
baseline_laplace,2.0,0.9991,0.1191,0.94
baseline_laplace,5.0,1.0,0.0294,0.9853
baseline_laplace,10.0,1.0,0.0076,0.9962
count_primary,0.1,0.6969,0.391,0.653
count_primary,0.5,0.9207,0.1722,0.8742
count_primary,1.0,0.9702,0.0809,0.9446
count_primary,2.0,0.9929,0.0236,0.9847
count_primary,5.0,0.9993,0.0009,0.9992
count_primary,10.0,1.0,0.0,1.0
clipped_sum_c100,0.1,0.8308,0.6603,0.5853
clipped_sum_c100,0.5,0.9533,0.4087,0.7723
clipped_sum_c100,1.0,0.987,0.2359,0.8756
clipped_sum_c100,2.0,0.9981,0.1022,0.9479
clipped_sum_c100,5.0,0.9997,0.0168,0.9915
clipped_sum_c100,10.0,1.0,0.0016,0.9992
gaussian,0.1,0.7766,0.7423,0.5171
gaussian,0.5,0.8608,0.6768,0.592
gaussian,1.0,0.9209,0.5993,0.6608
gaussian,2.0,0.9677,0.4601,0.7538
gaussian,5.0,0.9958,0.2145,0.8907
gaussian,10.0,0.9998,0.0771,0.9614
